Year,Category,Nominee,Won?
2010,Actor -- Leading Role,Biutiful ,NO
2010,Actor -- Leading Role,True Grit ,NO
2010,Actor -- Leading Role,The Social Network ,NO
2010,Actor -- Leading Role,The King's Speech ,YES
2010,Actor -- Leading Role,127 Hours ,NO
2010,Actor -- Supporting Role,The Fighter ,YES
2010,Actor -- Supporting Role,Winter's Bone ,NO
2010,Actor -- Supporting Role,The Town ,NO
2010,Actor -- Supporting Role,The Kids Are All Right ,NO
2010,Actor -- Supporting Role,The King's Speech ,NO
2010,Actress -- Leading Role,The Kids Are All Right ,NO
2010,Actress -- Leading Role,Rabbit Hole ,NO
2010,Actress -- Leading Role,Winter's Bone ,NO
2010,Actress -- Leading Role,Black Swan ,YES
2010,Actress -- Leading Role,Blue Valentine ,NO
2010,Actress -- Supporting Role,The Fighter ,NO
2010,Actress -- Supporting Role,The King's Speech ,NO
2010,Actress -- Supporting Role,The Fighter ,YES
2010,Actress -- Supporting Role,True Grit ,NO
2010,Actress -- Supporting Role,Animal Kingdom ,NO
2010,Animated Feature Film,How to Train Your Dragon,NO
2010,Animated Feature Film,The Illusionist,NO
2010,Animated Feature Film,Toy Story 3,YES
2010,Art Direction,Alice in Wonderland,YES
2010,Art Direction,Harry Potter and the Deathly Hallows Part 1,NO
2010,Art Direction,Inception,NO
2010,Art Direction,The King's Speech,NO
2010,Art Direction,True Grit,NO
2010,Cinematography,Black Swan,NO
2010,Cinematography,Inception,YES
2010,Cinematography,The King's Speech,NO
2010,Cinematography,The Social Network,NO
2010,Cinematography,True Grit,NO
2010,Costume Design,Alice in Wonderland,YES
2010,Costume Design,I Am Love,NO
2010,Costume Design,The King's Speech,NO
2010,Costume Design,The Tempest,NO
2010,Costume Design,True Grit,NO
2010,Directing,Black Swan,NO
2010,Directing,The Fighter,NO
2010,Directing,The King's Speech,YES
2010,Directing,The Social Network,NO
2010,Directing,True Grit,NO
2010,Documentary (Feature),Exit through the Gift Shop,NO
2010,Documentary (Feature),Gasland,NO
2010,Documentary (Feature),Inside Job,YES
2010,Documentary (Feature),Restrepo,NO
2010,Documentary (Feature),Waste Land,NO
2010,Documentary (Short Subject),Killing in the Name,NO
2010,Documentary (Short Subject),Poster Girl,NO
2010,Documentary (Short Subject),Strangers No More,YES
2010,Documentary (Short Subject),Sun Come Up,NO
2010,Documentary (Short Subject),The Warriors of Qiugang,NO
2010,Film Editing,Black Swan,NO
2010,Film Editing,The Fighter,NO
2010,Film Editing,The King's Speech,NO
2010,Film Editing,127 Hours,NO
2010,Film Editing,The Social Network,YES
2010,Foreign Language Film,Biutiful,NO
2010,Foreign Language Film,Dogtooth,NO
2010,Foreign Language Film,In a Better World,YES
2010,Foreign Language Film,Incendies,NO
2010,Foreign Language Film,Outside the Law (Hors-la-loi),NO
2010,Makeup,Barney's Version,NO
2010,Makeup,The Way Back,NO
2010,Makeup,The Wolfman,YES
2010,Music (Scoring),How to Train Your Dragon,NO
2010,Music (Scoring),Inception,NO
2010,Music (Scoring),The King's Speech,NO
2010,Music (Scoring),127 Hours,NO
2010,Music (Scoring),The Social Network,YES
2010,Music (Song),Country Strong,NO
2010,Music (Song),Tangled,NO
2010,Music (Song),127 Hours,NO
2010,Music (Song),Toy Story 3,YES
2010,Best Picture,Black Swan,NO
2010,Best Picture,The Fighter,NO
2010,Best Picture,Inception,NO
2010,Best Picture,The Kids Are All Right,NO
2010,Best Picture,The King's Speech,YES
2010,Best Picture,127 Hours,NO
2010,Best Picture,The Social Network,NO
2010,Best Picture,Toy Story 3,NO
2010,Best Picture,True Grit,NO
2010,Best Picture,Winter's Bone,NO
2010,Short Film (Animated),Day & Night,NO
2010,Short Film (Animated),The Gruffalo,NO
2010,Short Film (Animated),Let's Pollute,NO
2010,Short Film (Animated),The Lost Thing,YES
2010,Short Film (Animated),"Madagascar, carnet de voyage (Madagascar, a Journey Diary)",NO
2010,Short Film (Live Action),The Confession,NO
2010,Short Film (Live Action),The Crush,NO
2010,Short Film (Live Action),God of Love,YES
2010,Short Film (Live Action),Na Wewe,NO
2010,Short Film (Live Action),Wish 143,NO
2010,Sound,Inception,YES
2010,Sound,The King's Speech,NO
2010,Sound,Salt,NO
2010,Sound,The Social Network,NO
2010,Sound,True Grit,NO
2010,Sound Editing,Inception,YES
2010,Sound Editing,Toy Story 3,NO
2010,Sound Editing,Tron: Legacy,NO
2010,Sound Editing,True Grit,NO
2010,Sound Editing,Unstoppable,NO
2010,Visual Effects,Alice in Wonderland,NO
2010,Visual Effects,Harry Potter and the Deathly Hallows Part 1,NO
2010,Visual Effects,Hereafter,NO
2010,Visual Effects,Inception,YES
2010,Visual Effects,Iron Man 2,NO
2010,Writing,127 Hours,NO
2010,Writing,The Social Network,YES
2010,Writing,Toy Story 3,NO
2010,Writing,True Grit,NO
2010,Writing,Winter's Bone,NO
2010,Writing,Another Year,NO
2010,Writing,The Fighter,NO
2010,Writing,Inception,NO
2010,Writing,The Kids Are All Right,NO
2010,Writing,The King's Speech,YES
2009,Actor -- Leading Role,Crazy Heart ,YES
2009,Actor -- Leading Role,Up in the Air ,NO
2009,Actor -- Leading Role,A Single Man ,NO
2009,Actor -- Leading Role,Invictus ,NO
2009,Actor -- Leading Role,The Hurt Locker ,NO
2009,Actor -- Supporting Role,Invictus ,NO
2009,Actor -- Supporting Role,The Messenger ,NO
2009,Actor -- Supporting Role,The Last Station ,NO
2009,Actor -- Supporting Role,The Lovely Bones ,NO
2009,Actor -- Supporting Role,Inglourious Basterds ,YES
2009,Actress -- Leading Role,The Blind Side ,YES
2009,Actress -- Leading Role,The Last Station ,NO
2009,Actress -- Leading Role,An Education ,NO
2009,Actress -- Leading Role,Precious: Based on the Novel 'Push' by Sapphire ,NO
2009,Actress -- Leading Role,Julie & Julia ,NO
2009,Actress -- Supporting Role,Nine ,NO
2009,Actress -- Supporting Role,Up in the Air ,NO
2009,Actress -- Supporting Role,Crazy Heart ,NO
2009,Actress -- Supporting Role,Up in the Air ,NO
2009,Actress -- Supporting Role,Precious: Based on the Novel 'Push' by Sapphire ,YES
2009,Animated Feature Film,Coraline,NO
2009,Animated Feature Film,Fantastic Mr. Fox,NO
2009,Animated Feature Film,The Princess and the Frog,NO
2009,Animated Feature Film,The Secret of Kells,NO
2009,Animated Feature Film,Up,YES
2009,Art Direction,Avatar,YES
2009,Art Direction,The Imaginarium of Doctor Parnassus,NO
2009,Art Direction,Nine,NO
2009,Art Direction,Sherlock Holmes,NO
2009,Art Direction,The Young Victoria,NO
2009,Cinematography,Avatar,YES
2009,Cinematography,Harry Potter and the Half-Blood Prince,NO
2009,Cinematography,The Hurt Locker,NO
2009,Cinematography,Inglourious Basterds,NO
2009,Cinematography,The White Ribbon,NO
2009,Costume Design,Bright Star,NO
2009,Costume Design,Coco before Chanel,NO
2009,Costume Design,The Imaginarium of Doctor Parnassus,NO
2009,Costume Design,Nine,NO
2009,Costume Design,The Young Victoria,YES
2009,Directing,Avatar,NO
2009,Directing,The Hurt Locker,YES
2009,Directing,Inglourious Basterds,NO
2009,Directing,Precious: Based on the Novel 'Push' by Sapphire,NO
2009,Directing,Up in the Air,NO
2009,Documentary (Feature),Burma VJ,NO
2009,Documentary (Feature),The Cove,YES
2009,Documentary (Feature),"Food, Inc.",NO
2009,Documentary (Feature),The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,NO
2009,Documentary (Feature),Which Way Home,NO
2009,Documentary (Short Subject),China's Unnatural Disaster: The Tears of Sichuan Province,NO
2009,Documentary (Short Subject),The Last Campaign of Governor Booth Gardner,NO
2009,Documentary (Short Subject),The Last Truck: Closing of a GM Plant,NO
