Year,Category,Nominee,Won,Genre
1935,Sound,"$1,000 a Minute",NO,
1986,Foreign Language Film,38',NO,
1986,Writing,Crocodile' Dundee,NO,
1986,Actor -- Leading Role,Round Midnight,NO,Drama
1986,Actor -- Leading Role,Round Midnight,NO,Music
1986,Music (Scoring),Round Midnight,YES,Drama
1986,Music (Scoring),Round Midnight,YES,Music
2003,Short Film (Live Action),(A) Torzija [(A) Torsion],NO,
1979,Music (Scoring),10,NO,Comedy
1979,Music (Scoring),10,NO,Romance
1979,Music (Song),10,NO,Comedy
1979,Music (Song),10,NO,Romance
2000,Costume Design,102 Dalmatians,NO,Adventure
2000,Costume Design,102 Dalmatians,NO,Comedy
2000,Costume Design,102 Dalmatians,NO,Family
2007,Foreign Language Film,12,NO,Crime
2007,Foreign Language Film,12,NO,Drama
2007,Foreign Language Film,12,NO,Thriller
2007,Foreign Language Film,12,NO,War
1957,Directing,12 Angry Men,NO,Drama
1957,Best Picture,12 Angry Men,NO,Drama
1957,Writing,12 Angry Men,NO,Drama
1995,Actor -- Supporting Role,12 Monkeys,NO,
1995,Costume Design,12 Monkeys,NO,
2010,Actor -- Leading Role,127 Hours,NO,Adventure
2010,Actor -- Leading Role,127 Hours,NO,Biography
2010,Actor -- Leading Role,127 Hours,NO,Drama
2010,Actor -- Leading Role,127 Hours,NO,Thriller
2010,Film Editing,127 Hours,NO,Adventure
2010,Film Editing,127 Hours,NO,Biography
2010,Film Editing,127 Hours,NO,Drama
2010,Film Editing,127 Hours,NO,Thriller
2010,Music (Scoring),127 Hours,NO,Adventure
2010,Music (Scoring),127 Hours,NO,Biography
2010,Music (Scoring),127 Hours,NO,Drama
2010,Music (Scoring),127 Hours,NO,Thriller
2010,Music (Song),127 Hours,NO,Adventure
2010,Music (Song),127 Hours,NO,Biography
2010,Music (Song),127 Hours,NO,Drama
2010,Music (Song),127 Hours,NO,Thriller
2010,Best Picture,127 Hours,NO,Adventure
2010,Best Picture,127 Hours,NO,Biography
2010,Best Picture,127 Hours,NO,Drama
2010,Best Picture,127 Hours,NO,Thriller
2010,Writing,127 Hours,NO,Adventure
2010,Writing,127 Hours,NO,Biography
2010,Writing,127 Hours,NO,Drama
2010,Writing,127 Hours,NO,Thriller
1990,Short Film (Live Action),12:01 PM,NO,Sci-Fi
1990,Short Film (Live Action),12:01 PM,NO,Short
1964,Documentary (Short Subject),140 Days under the World,NO,
1972,Cinematography,1776,NO,Drama
1972,Cinematography,1776,NO,Family
1972,Cinematography,1776,NO,History
1972,Cinematography,1776,NO,Musical
1979,Cinematography,1941,NO,Action
1979,Cinematography,1941,NO,Comedy
1979,Cinematography,1941,NO,War
1979,Sound,1941,NO,Action
1979,Sound,1941,NO,Comedy
1979,Sound,1941,NO,War
1979,Visual Effects,1941,NO,Action
1979,Visual Effects,1941,NO,Comedy
1979,Visual Effects,1941,NO,War
1954,Art Direction,"20,000 Leagues under the Sea",YES,
1954,Film Editing,"20,000 Leagues under the Sea",NO,
1954,Special Effects (archaic category),"20,000 Leagues under the Sea",YES,
1968,Art Direction,2001: A Space Odyssey,NO,Mystery
1968,Art Direction,2001: A Space Odyssey,NO,Sci-Fi
1968,Directing,2001: A Space Odyssey,NO,Mystery
1968,Directing,2001: A Space Odyssey,NO,Sci-Fi
1968,Visual Effects,2001: A Space Odyssey,YES,Mystery
1968,Visual Effects,2001: A Space Odyssey,YES,Sci-Fi
1968,Writing,2001: A Space Odyssey,NO,Mystery
1968,Writing,2001: A Space Odyssey,NO,Sci-Fi
1984,Art Direction,2010,NO,Mystery
1984,Art Direction,2010,NO,Sci-Fi
1984,Art Direction,2010,NO,Thriller
1984,Costume Design,2010,NO,Mystery
1984,Costume Design,2010,NO,Sci-Fi
1984,Costume Design,2010,NO,Thriller
1984,Makeup,2010,NO,Mystery
1984,Makeup,2010,NO,Sci-Fi
1984,Makeup,2010,NO,Thriller
1984,Sound,2010,NO,Mystery
1984,Sound,2010,NO,Sci-Fi
1984,Sound,2010,NO,Thriller
1984,Visual Effects,2010,NO,Mystery
1984,Visual Effects,2010,NO,Sci-Fi
1984,Visual Effects,2010,NO,Thriller
2003,Actor -- Supporting Role,21 Grams,NO,Crime
2003,Actor -- Supporting Role,21 Grams,NO,Drama
2003,Actor -- Supporting Role,21 Grams,NO,Thriller
2003,Actress -- Leading Role,21 Grams,NO,Crime
2003,Actress -- Leading Role,21 Grams,NO,Drama
2003,Actress -- Leading Role,21 Grams,NO,Thriller
1955,Short Film (Live Action),24-Hour Alert,NO,
2007,Music (Scoring),3:10 to Yuma,NO,Adventure
2007,Music (Scoring),3:10 to Yuma,NO,Crime
2007,Music (Scoring),3:10 to Yuma,NO,Drama
2007,Music (Scoring),3:10 to Yuma,NO,Western
